cue,trial,raw_text,parsed,ok
sub,0,"submarine, sandwich, below",submarine|sandwich|below,True
sub,1,"sandwich, underwater, submarine",sandwich|underwater|submarine,True
sub,2,"submarine, sandwich, below",submarine|sandwich|below,True
sub,3,"submarine, sandwich, below",submarine|sandwich|below,True
sub,4,"submarine, sandwich, below",submarine|sandwich|below,True
sub,5,"submarine, sandwich, below",submarine|sandwich|below,True
sub,6,"sandwich, underwater, submarine",sandwich|underwater|submarine,True
sub,7,"submarine, sandwich, below",submarine|sandwich|below,True
sub,8,"submarine, sandwich, below",submarine|sandwich|below,True
sub,9,"submarine, sandwich, below",submarine|sandwich|below,True
children,0,"kids, play, school",kids|play|school,True
children,1,"play, school, family",play|school|family,True
children,2,"kids, play, school",kids|play|school,True
children,3,"kids, play, school",kids|play|school,True
children,4,"play, school, family",play|school|family,True
children,5,"play, school, family",play|school|family,True
children,6,"play, school, family",play|school|family,True
children,7,"kids, play, family",kids|play|family,True
children,8,"play, school, family",play|school|family,True
children,9,"play, school, family",play|school|family,True
anthem,0,"national, song, patriotic",national|song|patriotic,True
anthem,1,"national, song, patriotic",national|song|patriotic,True
anthem,2,"national, song, patriotic",national|song|patriotic,True
anthem,3,"national, song, patriotic",national|song|patriotic,True
anthem,4,"national, song, patriotic",national|song|patriotic,True
anthem,5,"national, song, patriotic",national|song|patriotic,True
anthem,6,"national, song, patriotic",national|song|patriotic,True
anthem,7,"national, song, patriotic",national|song|patriotic,True
anthem,8,"national, song, country",national|song|country,True
anthem,9,"national, song, patriotic",national|song|patriotic,True
yank,0,"pull, tug, jerk",pull|tug|jerk,True
yank,1,"pull, tug, jerk",pull|tug|jerk,True
yank,2,"pull, tug, jerk",pull|tug|jerk,True
yank,3,"pull, tug, jerk",pull|tug|jerk,True
yank,4,"pull, tug, jerk",pull|tug|jerk,True
yank,5,"pull, tug, jerk",pull|tug|jerk,True
yank,6,"pull, tug, jerk",pull|tug|jerk,True
yank,7,"pull, tug, jerk",pull|tug|jerk,True
yank,8,"pull, tug, jerk",pull|tug|jerk,True
yank,9,"pull, tug, jerk",pull|tug|jerk,True
Gemini,0,"constellation, zodiac, twins",constellation|zodiac|twins,True
Gemini,1,"constellation, zodiac, twins",constellation|zodiac|twins,True
Gemini,2,"constellation, zodiac, twins",constellation|zodiac|twins,True
Gemini,3,"constellation, zodiac, twins",constellation|zodiac|twins,True
Gemini,4,"constellation, zodiac, twins",constellation|zodiac|twins,True
Gemini,5,"constellation, zodiac, twins",constellation|zodiac|twins,True
Gemini,6,"constellation, zodiac, twins",constellation|zodiac|twins,True
Gemini,7,"constellation, zodiac, twins",constellation|zodiac|twins,True
Gemini,8,"constellation, zodiac, twins",constellation|zodiac|twins,True
Gemini,9,"constellation, zodiac, twins",constellation|zodiac|twins,True
fiber,0,"optic, cloth, diet",optic|cloth|diet,True
fiber,1,"optic, diet, cable",optic|diet|cable,True
fiber,2,"optic, diet, cable",optic|diet|cable,True
fiber,3,"optic, cloth, diet",optic|cloth|diet,True
fiber,4,"optic, diet, cable",optic|diet|cable,True
fiber,5,"optic, diet, cable",optic|diet|cable,True
fiber,6,"optic, diet, cable",optic|diet|cable,True
fiber,7,"optic, dietary, cable",optic|dietary|cable,True
fiber,8,"optic, diet, cable",optic|diet|cable,True
fiber,9,"optic, diet, cable",optic|diet|cable,True
errant,0,"wandering, mistake, knight",wandering|mistake|knight,True
errant,1,"wandering, mistaken, knight",wandering|mistaken|knight,True
errant,2,"wandering, mistake, knight",wandering|mistake|knight,True
