cue,trial,raw_text,parsed,ok
Aries,0,"zodiac, ram, fire",zodiac|ram|fire,True
Aries,1,"zodiac, ram, fire",zodiac|ram|fire,True
Aries,2,"zodiac, ram, fire",zodiac|ram|fire,True
Aries,3,"zodiac, ram, fire",zodiac|ram|fire,True
Aries,4,"zodiac, ram, fire",zodiac|ram|fire,True
Gemini,0,"constellation, zodiac, twins",constellation|zodiac|twins,True
Gemini,1,"constellation, zodiac, twins",constellation|zodiac|twins,True
Gemini,2,"constellation, zodiac, twins",constellation|zodiac|twins,True
Gemini,3,"constellation, zodiac, twins",constellation|zodiac|twins,True
Gemini,4,"constellation, zodiac, twins",constellation|zodiac|twins,True
anthem,0,"national, song, patriotic",national|song|patriotic,True
anthem,1,"national, song, patriotic",national|song|patriotic,True
anthem,2,"national, song, patriotic",national|song|patriotic,True
anthem,3,"national, song, patriotic",national|song|patriotic,True
anthem,4,"national, song, patriotic",national|song|patriotic,True
approve,0,"accept, agree, confirm",accept|agree|confirm,True
approve,1,"accept, agree, confirm",accept|agree|confirm,True
approve,2,"accept, agree, confirm",accept|agree|confirm,True
approve,3,"accept, agree, confirm",accept|agree|confirm,True
approve,4,"accept, agree, confirm",accept|agree|confirm,True
bunny,0,"rabbit, fluffy, ears",rabbit|fluffy|ears,True
bunny,1,"rabbit, fluffy, Easter",rabbit|fluffy|Easter,True
bunny,2,"rabbit, fluffy, Easter",rabbit|fluffy|Easter,True
bunny,3,"rabbit, fluffy, ears",rabbit|fluffy|ears,True
bunny,4,"rabbit, fluffy, Easter",rabbit|fluffy|Easter,True
candidate,0,"election, job, interview",election|job|interview,True
candidate,1,"election, job, interview",election|job|interview,True
candidate,2,"election, job, interview",election|job|interview,True
candidate,3,"election, job, interview",election|job|interview,True
candidate,4,"election, job, interview",election|job|interview,True
cell,0,"phone, biology, prison",phone|biology|prison,True
cell,1,"phone, biology, prison",phone|biology|prison,True
cell,2,"phone, biology, prison",phone|biology|prison,True
cell,3,"phone, biology, prison",phone|biology|prison,True
cell,4,"phone, biology, prison",phone|biology|prison,True
children,0,"play, school, family",play|school|family,True
children,1,"kids, play, school",kids|play|school,True
children,2,"kids, play, school",kids|play|school,True
children,3,"kids, play, school",kids|play|school,True
children,4,"play, school, family",play|school|family,True
conspiracy,0,"theory, secret, government",theory|secret|government,True
conspiracy,1,"theory, secret, plot",theory|secret|plot,True
conspiracy,2,"theory, secret, government",theory|secret|government,True
conspiracy,3,"theory, secret, government",theory|secret|government,True
conspiracy,4,"theory, secret, plot",theory|secret|plot,True
enforcement,0,"law, police, rules",law|police|rules,True
enforcement,1,"law, police, rules",law|police|rules,True
enforcement,2,"law, police, rules",law|police|rules,True
enforcement,3,"law, police, rules",law|police|rules,True
enforcement,4,"law, police, rules",law|police|rules,True
errant,0,"wandering, mistake, knight",wandering|mistake|knight,True
errant,1,"wandering, knight, mistake",wandering|knight|mistake,True
errant,2,"wandering, knight, mistake",wandering|knight|mistake,True
errant,3,"wandering, mistake, knight",wandering|mistake|knight,True
errant,4,"wandering, knight, mistake",wandering|knight|mistake,True
fiber,0,"optic, diet, cable",optic|diet|cable,True
fiber,1,"optic, cloth, diet",optic|cloth|diet,True
fiber,2,"optic, cable, diet",optic|cable|diet,True
fiber,3,"optic, diet, cable",optic|diet|cable,True
fiber,4,"optic, cloth, diet",optic|cloth|diet,True
monkeys,0,"bananas, jungle, funny",bananas|jungle|funny,True
monkeys,1,"bananas, jungle, climb",bananas|jungle|climb,True
monkeys,2,"bananas, jungle, funny",bananas|jungle|funny,True
monkeys,3,"bananas, jungle, funny",bananas|jungle|funny,True
monkeys,4,"bananas, jungle, swing",bananas|jungle|swing,True
required,0,"necessary, mandatory, needed",necessary|mandatory|needed,True
required,1,"necessary, mandatory, needed",necessary|mandatory|needed,True
required,2,"needed, mandatory, essential",needed|mandatory|essential,True
required,3,"necessary, mandatory, needed",necessary|mandatory|needed,True
required,4,"necessary, mandatory, needed",necessary|mandatory|needed,True
showers,0,"rain, bathroom, water",rain|bathroom|water,True
showers,1,"rain, bathroom, water",rain|bathroom|water,True
showers,2,"rain, bathroom, water",rain|bathroom|water,True
showers,3,"rain, bathroom, water",rain|bathroom|water,True
showers,4,"rain, bathroom, water",rain|bathroom|water,True
sub,0,"submarine, sandwich, below",submarine|sandwich|below,True
sub,1,"submarine, sandwich, below",submarine|sandwich|below,True
sub,2,"submarine, sandwich, below",submarine|sandwich|below,True
sub,3,"submarine, sandwich, below",submarine|sandwich|below,True
sub,4,"submarine, sandwich, below",submarine|sandwich|below,True
toot,0,"horn, sound, beep",horn|sound|beep,True
toot,1,"horn, sound, beep",horn|sound|beep,True
toot,2,"horn, sound, beep",horn|sound|beep,True
toot,3,"horn, sound, beep",horn|sound|beep,True
toot,4,"horn, sound, beep",horn|sound|beep,True
woodwind,0,"flute, clarinet, oboe",flute|clarinet|oboe,True
woodwind,1,"flute, clarinet, oboe",flute|clarinet|oboe,True
woodwind,2,"flute, clarinet, oboe",flute|clarinet|oboe,True
woodwind,3,"flute, clarinet, oboe",flute|clarinet|oboe,True
woodwind,4,"flute, clarinet, oboe",flute|clarinet|oboe,True
writing,0,"pen, paper, words",pen|paper|words,True
writing,1,"pen, paper, words",pen|paper|words,True
writing,2,"pen, paper, words",pen|paper|words,True
writing,3,"pen, paper, words",pen|paper|words,True
writing,4,"pen, paper, words",pen|paper|words,True
yank,0,"pull, tug, American",pull|tug|American,True
yank,1,"pull, tug, American",pull|tug|American,True
yank,2,"pull, tug, American",pull|tug|American,True
yank,3,"pull, tug, American",pull|tug|American,True
yank,4,"pull, tug, American",pull|tug|American,True
